vid_name,vid_name_long,vid_location,year,river,transect,location,frame_rate,total_frames,video_length,number_of_splits,rand_order,EDA,notes
2016_Channels_2016_Sandy_Videos_Sandy_Transect_5_Location_3_Camera_17,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 5_Location 3 Camera 17_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 5/Location 3 Camera 17/,2016,Sandy,Transect 5,Location 3,50,266744,88.91466667,23,0.82700309,no,
2018_Sandy_Billabong_2018_Transect_1_Location_7,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Sandy Billabong 2018_Transect 1_Location 7_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Sandy Billabong 2018/Transect 1/Location 7/,2018,Sandy,Transect 1,Location 7,50,226777,75.59233333,19,0.824664436,no,
2017_Mudginberri_Billabong_2017_Transect_6_Location_1,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 6_Location 1_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 6/Location 1/,2017,Mudginberri,Transect 6,Location 1,50,200562,66.854,17,0.823058932,no,
2018_Mudginberri_Billabong_2018_Transect_1_Location_1,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 1_Location 1_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 1/Location 1/,2018,Mudginberri,Transect 1,Location 1,50,226728,75.576,19,0.817644932,no,
2018_Sandy_Billabong_2018_Transect_1_Location_9,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Sandy Billabong 2018_Transect 1_Location 9_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Sandy Billabong 2018/Transect 1/Location 9/,2018,Sandy,Transect 1,Location 9,50,188123,62.70766667,16,0.817065643,no,
2018_Mudginberri_Billabong_2018_Transect_6_Location_5,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 6_Location 5_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 6/Location 5/,2018,Mudginberri,Transect 6,Location 5,50,249187,83.06233333,21,0.813956462,no,
2018_Mudginberri_Billabong_2018_Transect_3_Location_7,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 3_Location 7_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 3/Location 7/,2018,Mudginberri,Transect 3,Location 7,50,190935,63.645,16,0.80978193,no,
2017_Sandy_Billabong_2017_Transect_4_Location_9,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Sandy Billabong 2017_Transect 4_Location 9_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Sandy Billabong 2017/Transect 4/Location 9/,2017,Sandy,Transect 4,Location 9,50,270804,90.268,23,0.808708984,no,
2018_Sandy_Billabong_2018_Transect_1_Location_4,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Sandy Billabong 2018_Transect 1_Location 4_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Sandy Billabong 2018/Transect 1/Location 4/,2018,Sandy,Transect 1,Location 4,50,254602,84.86733333,22,0.805771332,no,
2016_Channels_2016_Mudginberri_Videos_Transect_5_Location_5_Camera_11,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 5_Location 5 Camera 11_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 5/Location 5 Camera 11/,2016,Mudginberri,Transect 5,Location 5,50,232998,77.666,20,0.805746438,no,
2017_Sandy_Billabong_2017_Transect_3_Location_8,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Sandy Billabong 2017_Transect 3_Location 8_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Sandy Billabong 2017/Transect 3/Location 8/,2017,Sandy,Transect 3,Location 8,50,273989,91.32966667,23,0.805685927,no,
